target_index,comparison,pathway,detection_state,control,replicate_id,seed,n_paired_genes,gene,gene_index,control_raw_p_full,control_adjusted_p_full,control_qval_full,control_score_full,control_raw_p_masked,control_adjusted_p_masked,control_qval_masked,control_score_masked,control_delta_score,control_significant_full,control_significant_masked,control_detection_flip,mapping_changed_fraction,norm_max_difference,vanilla_delta_score,true_genept_delta_score,true_genept_detection_flip
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,4.0,20261816.0,17.0,HAL,17.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.00059618767048381,0.0733310834695086,1.06522856619588,3.22461700967912,0.570833100414529,True,False,True,0.941176470588235,0.0,0.518835066685553,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,AMT,1.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,8.03548663493119e-06,0.000988364856096536,1.73351743731473,5.09498781691362,-1.29953770681997,True,True,False,1.0,0.0,0.26588242470284,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,ASNS,2.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.755786128119809,1.0,0.0,0.121601083491123,3.67384902660253,True,False,True,1.0,0.0,2.97446968813527,4.1099213546529,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,CA13,3.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.0,True,True,False,1.0,0.0,0.518835066685553,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,CA2,4.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,-0.305073209619947,True,True,False,1.0,0.0,0.518835066685553,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,CA5A,5.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,-0.305073209619947,True,True,False,1.0,0.0,0.0,1.19415593182466,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,CA5B,6.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.0150822934297104,1.0,0.0,1.82153261416016,1.9739174959335,True,False,True,1.0,0.0,1.20095703320099,2.18043435294962,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,CA6,7.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,-0.623322831410129,True,True,False,1.0,0.0,-0.278883708402879,-0.676214875409841,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,CA7,8.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.0,True,True,False,1.0,0.0,0.0,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,CA9,9.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.0,True,True,False,1.0,0.0,0.0,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,CPS1,10.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,0.29194939201165,True,True,False,1.0,0.0,-0.278883708402879,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,CTH,11.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,-0.623322831410129,True,True,False,1.0,0.0,-0.278883708402879,-0.676214875409841,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,GLS,12.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.997732715824954,1.0,0.0,0.000985786958486773,3.79446432313517,True,False,True,1.0,0.0,3.22406259032914,4.41591679719862,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,GLS2,13.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.00059618767048381,0.0733310834695086,1.06522856619588,3.22461700967912,0.570833100414529,True,False,True,1.0,0.0,0.758937488761304,0.915272223421779,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,GLUD1,14.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.0351222601892017,1.0,0.0,1.45441754412943,2.34103256596422,True,False,True,1.0,0.0,0.0,1.95309342058596,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,GLUD2,15.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,0.29194939201165,True,True,False,1.0,0.0,0.26588242470284,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,GLUL,16.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,-0.623322831410129,True,True,False,1.0,0.0,-0.570833100414529,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,5.0,20261817.0,17.0,HAL,17.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,-0.623322831410129,True,True,False,1.0,0.0,0.518835066685553,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,AMT,1.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.305073209619947,True,True,False,1.0,0.0,0.26588242470284,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,ASNS,2.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,0.420283707542506,1.0,0.0,0.376457445258734,3.72406587445487,True,False,True,1.0,0.0,2.97446968813527,4.1099213546529,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,CA13,3.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,0.00059618767048381,0.0733310834695086,1.06522856619588,3.22461700967912,0.875906310034476,True,False,True,1.0,0.0,0.518835066685553,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,CA2,4.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.305073209619947,True,True,False,1.0,0.0,0.518835066685553,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,CA5A,5.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.305073209619947,True,True,False,1.0,0.0,0.0,1.19415593182466,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,CA5B,6.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,0.0034223189265975,0.420945227971492,0.613004412282997,2.46567952091782,1.63484379879578,True,False,True,1.0,0.0,1.20095703320099,2.18043435294962,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,CA6,7.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,-0.318249621790182,True,True,False,1.0,0.0,-0.278883708402879,-0.676214875409841,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,CA7,8.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,0.0,True,True,False,1.0,0.0,0.0,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,CA9,9.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,0.0,True,True,False,1.0,0.0,0.0,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,CPS1,10.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,0.00196887460329715,0.242171576205549,0.784778205325666,2.70578194299357,1.39474137672003,True,False,True,1.0,0.0,-0.278883708402879,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,CTH,11.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,0.597022601631597,True,True,False,1.0,0.0,-0.278883708402879,-0.676214875409841,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,GLS,12.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,0.989331698428969,1.0,0.0,0.00465807579851923,4.09586524391508,True,False,True,1.0,0.0,3.22406259032914,4.41591679719862,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,GLS2,13.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,0.00059618767048381,0.0733310834695086,1.06522856619588,3.22461700967912,0.875906310034476,True,False,True,1.0,0.0,0.758937488761304,0.915272223421779,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,GLUD1,14.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,0.00196887460329715,0.242171576205549,0.784778205325666,2.70578194299357,1.39474137672003,True,False,True,1.0,0.0,0.0,1.95309342058596,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,GLUD2,15.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,0.0,True,True,False,1.0,0.0,0.26588242470284,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,GLUL,16.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,0.00059618767048381,0.0733310834695086,1.06522856619588,3.22461700967912,0.875906310034476,True,False,True,1.0,0.0,-0.570833100414529,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,6.0,20261818.0,17.0,HAL,17.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,0.597022601631597,True,True,False,1.0,0.0,0.518835066685553,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,AMT,1.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,-0.305073209619947,True,True,False,1.0,0.0,0.26588242470284,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,ASNS,2.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.696379525408901,1.0,0.0,0.157154006269025,3.63829610382463,True,False,True,1.0,0.0,2.97446968813527,4.1099213546529,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,CA13,3.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,-0.623322831410129,True,True,False,1.0,0.0,0.518835066685553,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,CA2,4.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.0,True,True,False,1.0,0.0,0.518835066685553,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,CA5A,5.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,0.29194939201165,True,True,False,1.0,0.0,0.0,1.19415593182466,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,CA5B,6.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.00196887460329715,0.242171576205549,0.784778205325666,2.70578194299357,1.08966816710008,True,False,True,1.0,0.0,1.20095703320099,2.18043435294962,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,CA6,7.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,-0.623322831410129,True,True,False,1.0,0.0,-0.278883708402879,-0.676214875409841,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,CA7,8.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.0,True,True,False,1.0,0.0,0.0,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,CA9,9.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.0,True,True,False,1.0,0.0,0.0,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,CPS1,10.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,-0.305073209619947,True,True,False,1.0,0.0,-0.278883708402879,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,CTH,11.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,-0.954796553051974,True,True,False,1.0,0.0,-0.278883708402879,-0.676214875409841,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,GLS,12.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.974075350370635,1.0,0.0,0.0114074466281213,3.78404266346553,True,False,True,1.0,0.0,3.22406259032914,4.41591679719862,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,GLS2,13.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,-0.305073209619947,True,True,False,1.0,0.0,0.758937488761304,0.915272223421779,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,GLUD1,14.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.00196887460329715,0.242171576205549,0.784778205325666,2.70578194299357,1.08966816710008,True,False,True,1.0,0.0,0.0,1.95309342058596,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,GLUD2,15.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,0.29194939201165,True,True,False,1.0,0.0,0.26588242470284,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,GLUL,16.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,-0.954796553051974,True,True,False,1.0,0.0,-0.570833100414529,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,7.0,20261819.0,17.0,HAL,17.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,0.29194939201165,True,True,False,1.0,0.0,0.518835066685553,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,AMT,1.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.0150822934297104,1.0,0.0,1.82153261416016,0.416805974394003,False,False,False,0.941176470588235,0.0,0.26588242470284,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,ASNS,2.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.562150599897062,1.0,0.0,0.250147321543855,1.98819126701031,False,False,False,0.941176470588235,0.0,2.97446968813527,4.1099213546529,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,CA13,3.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.00196887460329715,0.242171576205549,0.784778205325666,2.70578194299357,-0.467443354439411,False,False,False,0.941176470588235,0.0,0.518835066685553,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,CA2,4.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.00946978291842922,1.0,0.0,2.02365997647813,0.214678612076031,False,False,False,0.941176470588235,0.0,0.518835066685553,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,CA5A,5.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.0233436169134307,1.0,0.0,1.63183185249604,0.606506736058118,False,False,False,0.941176470588235,0.0,0.0,1.19415593182466,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,CA5B,6.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.0513887607461245,1.0,0.0,1.28913185531754,0.949206733236626,False,False,False,0.941176470588235,0.0,1.20095703320099,2.18043435294962,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,CA6,7.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.0351222601892017,1.0,0.0,1.45441754412943,0.783921044424732,False,False,False,0.941176470588235,0.0,-0.278883708402879,-0.676214875409841,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,CA7,8.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.0,False,False,False,0.941176470588235,0.0,0.0,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,CA9,9.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.0,False,False,False,0.941176470588235,0.0,0.0,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,CPS1,10.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.0150822934297104,1.0,0.0,1.82153261416016,0.416805974394003,False,False,False,0.941176470588235,0.0,-0.278883708402879,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,CTH,11.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.00946978291842922,1.0,0.0,2.02365997647813,0.214678612076031,False,False,False,0.941176470588235,0.0,-0.278883708402879,-0.676214875409841,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,GLS,12.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.999905146038811,1.0,0.0,4.1196505787828e-05,2.23829739204837,False,False,False,0.941176470588235,0.0,3.22406259032914,4.41591679719862,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,GLS2,13.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.0233436169134307,1.0,0.0,1.63183185249604,0.606506736058118,False,False,False,0.941176470588235,0.0,0.758937488761304,0.915272223421779,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,GLUD1,14.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.00946978291842922,1.0,0.0,2.02365997647813,0.214678612076031,False,False,False,0.941176470588235,0.0,0.0,1.95309342058596,True
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,GLUD2,15.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.00946978291842922,1.0,0.0,2.02365997647813,0.214678612076031,False,False,False,0.941176470588235,0.0,0.26588242470284,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,GLUL,16.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.0150822934297104,1.0,0.0,1.82153261416016,0.416805974394003,False,False,False,0.941176470588235,0.0,-0.570833100414529,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,8.0,20261820.0,17.0,HAL,17.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,0.0150822934297104,1.0,0.0,1.82153261416016,0.416805974394003,False,False,False,0.941176470588235,0.0,0.518835066685553,0.318249621790182,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,9.0,20261821.0,17.0,AMT,1.0,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,0.0,True,True,False,0.941176470588235,0.0,0.26588242470284,0.0,False
1.0,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,9.0,20261821.0,17.0,ASNS,2.0,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,0.49107566468588,1.0,0.0,0.308851586850884,4.44139507629474,True,False,True,0.941176470588235,0.0,2.97446968813527,4.1099213546529,True
